Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,3000.00,0,0,0,0,0,0,0,0,1,0.0,36
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,63088.52,18195.18,398000.00,468,0,244,0,254,0,155,0,10,0.8301332803037046,1668
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,104807.77,78977.25,728250.00,1276,0,241,0,2827,0,268,0,32,0.5232124972443846,4512
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,26960.48,34906.65,4025600.00,513,97,0,188,540,42,332,9,14,0.9627067766727956,2388
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,81431.32,31372.85,4152600.00,449,0,103,0,507,0,257,0,15,0.9282058232358519,2352
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,41271.94,36120.00,7052800.00,648,68,0,253,521,13,413,19,17,0.9373261334674639,3768
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,26538.51,30420.00,5388000.00,511,189,0,363,564,143,231,9,12,0.9218675189769615,2712
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,58535.50,43500.00,9363900.00,850,96,0,404,659,21,501,15,18,0.9571802610511814,4524
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,23287.36,11715.00,7224800.00,271,420,0,271,128,494,321,16,11,0.9784289112524158,3300
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,468622.70,0.00,0,1580,0,237,0,2531,0,478,8,1.2735383816921388,5448
